date,year,month,day,week_of_year,is_weekend,holiday_flag
2025-01-01,2025,1,1,1,False,False
2025-01-02,2025,1,2,1,False,False
2025-01-03,2025,1,3,1,False,False
2025-01-04,2025,1,4,1,True,False
2025-01-05,2025,1,5,1,True,False
2025-01-06,2025,1,6,2,False,False
2025-01-07,2025,1,7,2,False,False
2025-01-08,2025,1,8,2,False,False
2025-01-09,2025,1,9,2,False,False
2025-01-10,2025,1,10,2,False,False
2025-01-11,2025,1,11,2,True,False
2025-01-12,2025,1,12,2,True,False
2025-01-13,2025,1,13,3,False,False
2025-01-14,2025,1,14,3,False,False
2025-01-15,2025,1,15,3,False,False
2025-01-16,2025,1,16,3,False,True
2025-01-17,2025,1,17,3,False,False
2025-01-18,2025,1,18,3,True,False
2025-01-19,2025,1,19,3,True,False
2025-01-20,2025,1,20,4,False,False
2025-01-21,2025,1,21,4,False,False
2025-01-22,2025,1,22,4,False,False
2025-01-23,2025,1,23,4,False,False
2025-01-24,2025,1,24,4,False,False
2025-01-25,2025,1,25,4,True,False
2025-01-26,2025,1,26,4,True,False
2025-01-27,2025,1,27,5,False,False
2025-01-28,2025,1,28,5,False,False
2025-01-29,2025,1,29,5,False,False
2025-01-30,2025,1,30,5,False,False
2025-01-31,2025,1,31,5,False,False
2025-02-01,2025,2,1,5,True,False
2025-02-02,2025,2,2,5,True,False
2025-02-03,2025,2,3,6,False,True
2025-02-04,2025,2,4,6,False,False
2025-02-05,2025,2,5,6,False,False
2025-02-06,2025,2,6,6,False,False
2025-02-07,2025,2,7,6,False,False
2025-02-08,2025,2,8,6,True,False
2025-02-09,2025,2,9,6,True,True
2025-02-10,2025,2,10,7,False,False
2025-02-11,2025,2,11,7,False,False
2025-02-12,2025,2,12,7,False,False
2025-02-13,2025,2,13,7,False,False
2025-02-14,2025,2,14,7,False,False
2025-02-15,2025,2,15,7,True,False
2025-02-16,2025,2,16,7,True,False
2025-02-17,2025,2,17,8,False,False
2025-02-18,2025,2,18,8,False,False
2025-02-19,2025,2,19,8,False,False
2025-02-20,2025,2,20,8,False,False
2025-02-21,2025,2,21,8,False,False
2025-02-22,2025,2,22,8,True,False
2025-02-23,2025,2,23,8,True,False
2025-02-24,2025,2,24,9,False,False
2025-02-25,2025,2,25,9,False,True
2025-02-26,2025,2,26,9,False,False
2025-02-27,2025,2,27,9,False,True
2025-02-28,2025,2,28,9,False,False
2025-03-01,2025,3,1,9,True,False
2025-03-02,2025,3,2,9,True,False
2025-03-03,2025,3,3,10,False,False
2025-03-04,2025,3,4,10,False,False
2025-03-05,2025,3,5,10,False,False
2025-03-06,2025,3,6,10,False,False
2025-03-07,2025,3,7,10,False,False
2025-03-08,2025,3,8,10,True,False
2025-03-09,2025,3,9,10,True,False
2025-03-10,2025,3,10,11,False,False
2025-03-11,2025,3,11,11,False,False
2025-03-12,2025,3,12,11,False,False
2025-03-13,2025,3,13,11,False,False
2025-03-14,2025,3,14,11,False,False
2025-03-15,2025,3,15,11,True,False
2025-03-16,2025,3,16,11,True,False
2025-03-17,2025,3,17,12,False,False
2025-03-18,2025,3,18,12,False,True
2025-03-19,2025,3,19,12,False,False
2025-03-20,2025,3,20,12,False,False
2025-03-21,2025,3,21,12,False,False
2025-03-22,2025,3,22,12,True,False
2025-03-23,2025,3,23,12,True,False
2025-03-24,2025,3,24,13,False,False
2025-03-25,2025,3,25,13,False,False
2025-03-26,2025,3,26,13,False,False
2025-03-27,2025,3,27,13,False,False
2025-03-28,2025,3,28,13,False,False
2025-03-29,2025,3,29,13,True,False
2025-03-30,2025,3,30,13,True,False
2025-03-31,2025,3,31,14,False,False
2025-04-01,2025,4,1,14,False,False
2025-04-02,2025,4,2,14,False,False
2025-04-03,2025,4,3,14,False,False
2025-04-04,2025,4,4,14,False,False
2025-04-05,2025,4,5,14,True,False
2025-04-06,2025,4,6,14,True,False
2025-04-07,2025,4,7,15,False,False
2025-04-08,2025,4,8,15,False,False
2025-04-09,2025,4,9,15,False,False
2025-04-10,2025,4,10,15,False,False
2025-04-11,2025,4,11,15,False,False
2025-04-12,2025,4,12,15,True,False
2025-04-13,2025,4,13,15,True,False
2025-04-14,2025,4,14,16,False,False
2025-04-15,2025,4,15,16,False,False
2025-04-16,2025,4,16,16,False,False
2025-04-17,2025,4,17,16,False,False
2025-04-18,2025,4,18,16,False,False
2025-04-19,2025,4,19,16,True,False
2025-04-20,2025,4,20,16,True,False
2025-04-21,2025,4,21,17,False,False
2025-04-22,2025,4,22,17,False,False
2025-04-23,2025,4,23,17,False,False
2025-04-24,2025,4,24,17,False,False
2025-04-25,2025,4,25,17,False,False
2025-04-26,2025,4,26,17,True,False
2025-04-27,2025,4,27,17,True,False
2025-04-28,2025,4,28,18,False,False
2025-04-29,2025,4,29,18,False,False
2025-04-30,2025,4,30,18,False,True
2025-05-01,2025,5,1,18,False,False
2025-05-02,2025,5,2,18,False,False
2025-05-03,2025,5,3,18,True,False
2025-05-04,2025,5,4,18,True,False
2025-05-05,2025,5,5,19,False,False
2025-05-06,2025,5,6,19,False,False
2025-05-07,2025,5,7,19,False,True
2025-05-08,2025,5,8,19,False,False
2025-05-09,2025,5,9,19,False,False
2025-05-10,2025,5,10,19,True,False
2025-05-11,2025,5,11,19,True,False
2025-05-12,2025,5,12,20,False,False
2025-05-13,2025,5,13,20,False,False
2025-05-14,2025,5,14,20,False,False
2025-05-15,2025,5,15,20,False,False
2025-05-16,2025,5,16,20,False,False
2025-05-17,2025,5,17,20,True,False
2025-05-18,2025,5,18,20,True,True
2025-05-19,2025,5,19,21,False,False
2025-05-20,2025,5,20,21,False,False
2025-05-21,2025,5,21,21,False,False
2025-05-22,2025,5,22,21,False,False
2025-05-23,2025,5,23,21,False,False
2025-05-24,2025,5,24,21,True,False
2025-05-25,2025,5,25,21,True,False
2025-05-26,2025,5,26,22,False,False
2025-05-27,2025,5,27,22,False,False
2025-05-28,2025,5,28,22,False,False
2025-05-29,2025,5,29,22,False,False
2025-05-30,2025,5,30,22,False,False
2025-05-31,2025,5,31,22,True,False
2025-06-01,2025,6,1,22,True,False
2025-06-02,2025,6,2,23,False,True
2025-06-03,2025,6,3,23,False,False
2025-06-04,2025,6,4,23,False,False
2025-06-05,2025,6,5,23,False,False
2025-06-06,2025,6,6,23,False,False
2025-06-07,2025,6,7,23,True,False
2025-06-08,2025,6,8,23,True,False
2025-06-09,2025,6,9,24,False,False
2025-06-10,2025,6,10,24,False,False
2025-06-11,2025,6,11,24,False,False
2025-06-12,2025,6,12,24,False,False
2025-06-13,2025,6,13,24,False,False
2025-06-14,2025,6,14,24,True,False
2025-06-15,2025,6,15,24,True,False
2025-06-16,2025,6,16,25,False,False
2025-06-17,2025,6,17,25,False,False
2025-06-18,2025,6,18,25,False,False
2025-06-19,2025,6,19,25,False,False
2025-06-20,2025,6,20,25,False,False
2025-06-21,2025,6,21,25,True,False
2025-06-22,2025,6,22,25,True,False
2025-06-23,2025,6,23,26,False,False
2025-06-24,2025,6,24,26,False,False
2025-06-25,2025,6,25,26,False,False
2025-06-26,2025,6,26,26,False,False
2025-06-27,2025,6,27,26,False,False
2025-06-28,2025,6,28,26,True,False
2025-06-29,2025,6,29,26,True,False
2025-06-30,2025,6,30,27,False,False
2025-07-01,2025,7,1,27,False,False
2025-07-02,2025,7,2,27,False,False
2025-07-03,2025,7,3,27,False,True
2025-07-04,2025,7,4,27,False,False
2025-07-05,2025,7,5,27,True,False
2025-07-06,2025,7,6,27,True,False
2025-07-07,2025,7,7,28,False,False
2025-07-08,2025,7,8,28,False,False
2025-07-09,2025,7,9,28,False,False
2025-07-10,2025,7,10,28,False,False
2025-07-11,2025,7,11,28,False,False
2025-07-12,2025,7,12,28,True,False
2025-07-13,2025,7,13,28,True,True
2025-07-14,2025,7,14,29,False,False
2025-07-15,2025,7,15,29,False,False
2025-07-16,2025,7,16,29,False,False
2025-07-17,2025,7,17,29,False,False
2025-07-18,2025,7,18,29,False,False
2025-07-19,2025,7,19,29,True,False
2025-07-20,2025,7,20,29,True,False
2025-07-21,2025,7,21,30,False,False
2025-07-22,2025,7,22,30,False,False
2025-07-23,2025,7,23,30,False,False
2025-07-24,2025,7,24,30,False,False
2025-07-25,2025,7,25,30,False,False
2025-07-26,2025,7,26,30,True,False
2025-07-27,2025,7,27,30,True,False
2025-07-28,2025,7,28,31,False,False
2025-07-29,2025,7,29,31,False,False
2025-07-30,2025,7,30,31,False,False
2025-07-31,2025,7,31,31,False,False
2025-08-01,2025,8,1,31,False,False
2025-08-02,2025,8,2,31,True,False
2025-08-03,2025,8,3,31,True,False
2025-08-04,2025,8,4,32,False,False
2025-08-05,2025,8,5,32,False,False
2025-08-06,2025,8,6,32,False,False
2025-08-07,2025,8,7,32,False,False
2025-08-08,2025,8,8,32,False,False
2025-08-09,2025,8,9,32,True,False
2025-08-10,2025,8,10,32,True,False
2025-08-11,2025,8,11,33,False,False
2025-08-12,2025,8,12,33,False,False
2025-08-13,2025,8,13,33,False,False
2025-08-14,2025,8,14,33,False,False
2025-08-15,2025,8,15,33,False,False
2025-08-16,2025,8,16,33,True,False
2025-08-17,2025,8,17,33,True,False
2025-08-18,2025,8,18,34,False,False
2025-08-19,2025,8,19,34,False,False
2025-08-20,2025,8,20,34,False,False
2025-08-21,2025,8,21,34,False,False
2025-08-22,2025,8,22,34,False,False
2025-08-23,2025,8,23,34,True,False
2025-08-24,2025,8,24,34,True,False
2025-08-25,2025,8,25,35,False,False
2025-08-26,2025,8,26,35,False,False
2025-08-27,2025,8,27,35,False,False
2025-08-28,2025,8,28,35,False,False
2025-08-29,2025,8,29,35,False,False
2025-08-30,2025,8,30,35,True,False
2025-08-31,2025,8,31,35,True,False
2025-09-01,2025,9,1,36,False,False
2025-09-02,2025,9,2,36,False,False
2025-09-03,2025,9,3,36,False,False
2025-09-04,2025,9,4,36,False,False
2025-09-05,2025,9,5,36,False,False
2025-09-06,2025,9,6,36,True,False
2025-09-07,2025,9,7,36,True,False
2025-09-08,2025,9,8,37,False,False
2025-09-09,2025,9,9,37,False,False
2025-09-10,2025,9,10,37,False,False
2025-09-11,2025,9,11,37,False,False
2025-09-12,2025,9,12,37,False,False
2025-09-13,2025,9,13,37,True,False
2025-09-14,2025,9,14,37,True,False
2025-09-15,2025,9,15,38,False,False
2025-09-16,2025,9,16,38,False,False
2025-09-17,2025,9,17,38,False,False
2025-09-18,2025,9,18,38,False,False
2025-09-19,2025,9,19,38,False,False
2025-09-20,2025,9,20,38,True,False
2025-09-21,2025,9,21,38,True,False
2025-09-22,2025,9,22,39,False,False
2025-09-23,2025,9,23,39,False,False
2025-09-24,2025,9,24,39,False,False
2025-09-25,2025,9,25,39,False,False
2025-09-26,2025,9,26,39,False,False
2025-09-27,2025,9,27,39,True,False
2025-09-28,2025,9,28,39,True,False
2025-09-29,2025,9,29,40,False,False
2025-09-30,2025,9,30,40,False,False
2025-10-01,2025,10,1,40,False,False
2025-10-02,2025,10,2,40,False,False
2025-10-03,2025,10,3,40,False,False
2025-10-04,2025,10,4,40,True,False
2025-10-05,2025,10,5,40,True,False
2025-10-06,2025,10,6,41,False,False
2025-10-07,2025,10,7,41,False,False
2025-10-08,2025,10,8,41,False,False
2025-10-09,2025,10,9,41,False,False
2025-10-10,2025,10,10,41,False,False
2025-10-11,2025,10,11,41,True,False
2025-10-12,2025,10,12,41,True,False
2025-10-13,2025,10,13,42,False,False
2025-10-14,2025,10,14,42,False,False
2025-10-15,2025,10,15,42,False,False
2025-10-16,2025,10,16,42,False,False
2025-10-17,2025,10,17,42,False,False
2025-10-18,2025,10,18,42,True,False
2025-10-19,2025,10,19,42,True,False
2025-10-20,2025,10,20,43,False,False
2025-10-21,2025,10,21,43,False,False
2025-10-22,2025,10,22,43,False,False
2025-10-23,2025,10,23,43,False,False
2025-10-24,2025,10,24,43,False,False
2025-10-25,2025,10,25,43,True,False
2025-10-26,2025,10,26,43,True,False
2025-10-27,2025,10,27,44,False,False
2025-10-28,2025,10,28,44,False,False
2025-10-29,2025,10,29,44,False,False
2025-10-30,2025,10,30,44,False,False
2025-10-31,2025,10,31,44,False,False
2025-11-01,2025,11,1,44,True,True
2025-11-02,2025,11,2,44,True,False
2025-11-03,2025,11,3,45,False,False
2025-11-04,2025,11,4,45,False,False
2025-11-05,2025,11,5,45,False,False
2025-11-06,2025,11,6,45,False,True
2025-11-07,2025,11,7,45,False,False
2025-11-08,2025,11,8,45,True,False
2025-11-09,2025,11,9,45,True,False
2025-11-10,2025,11,10,46,False,False
2025-11-11,2025,11,11,46,False,False
2025-11-12,2025,11,12,46,False,False
2025-11-13,2025,11,13,46,False,False
2025-11-14,2025,11,14,46,False,False
2025-11-15,2025,11,15,46,True,False
2025-11-16,2025,11,16,46,True,False
2025-11-17,2025,11,17,47,False,False
2025-11-18,2025,11,18,47,False,False
2025-11-19,2025,11,19,47,False,False
2025-11-20,2025,11,20,47,False,False
2025-11-21,2025,11,21,47,False,False
2025-11-22,2025,11,22,47,True,False
2025-11-23,2025,11,23,47,True,False
2025-11-24,2025,11,24,48,False,False
2025-11-25,2025,11,25,48,False,False
2025-11-26,2025,11,26,48,False,False
2025-11-27,2025,11,27,48,False,False
2025-11-28,2025,11,28,48,False,False
2025-11-29,2025,11,29,48,True,False
2025-11-30,2025,11,30,48,True,False
2025-12-01,2025,12,1,49,False,False
2025-12-02,2025,12,2,49,False,False
2025-12-03,2025,12,3,49,False,False
2025-12-04,2025,12,4,49,False,False
2025-12-05,2025,12,5,49,False,True
2025-12-06,2025,12,6,49,True,False
2025-12-07,2025,12,7,49,True,False
2025-12-08,2025,12,8,50,False,False
2025-12-09,2025,12,9,50,False,False
2025-12-10,2025,12,10,50,False,False
2025-12-11,2025,12,11,50,False,False
2025-12-12,2025,12,12,50,False,False
2025-12-13,2025,12,13,50,True,False
2025-12-14,2025,12,14,50,True,False
2025-12-15,2025,12,15,51,False,False
2025-12-16,2025,12,16,51,False,False
2025-12-17,2025,12,17,51,False,False
2025-12-18,2025,12,18,51,False,False
2025-12-19,2025,12,19,51,False,False
2025-12-20,2025,12,20,51,True,False
2025-12-21,2025,12,21,51,True,False
2025-12-22,2025,12,22,52,False,False
2025-12-23,2025,12,23,52,False,False
2025-12-24,2025,12,24,52,False,False
2025-12-25,2025,12,25,52,False,False
2025-12-26,2025,12,26,52,False,False
2025-12-27,2025,12,27,52,True,False
2025-12-28,2025,12,28,52,True,False
2025-12-29,2025,12,29,1,False,False
2025-12-30,2025,12,30,1,False,False
2025-12-31,2025,12,31,1,False,False
